API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVRegion,ENVBasin,ENVPlay,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,ENVFracJobType,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,Proppant_LBS,TotalFluidPumped_BBL,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProdDate,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,FirstProdYear
42-003-43537,4200343537,42-003-43537-00,4.20034E+11,42-003-43537-00-00,4.20034E+13,8.4042E+14,8.40421E+14,42-003-43537,1,"MIDLAND FARMS ""AM"" 11",US,TX,ANDREWS,51954,"MIDLAND FARMS ""AM""",OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,STRAWN,2012/6/1,32.178749,-102.360027,32.178749,-102.360027,10500,10500,8,INEZ,G&MMB&A,41,226,,18,2N,,,,2012,2012-Q2,Jun-12,3025,ACTUAL,3000,ACTUAL,,2011/10/17,2011/10/11,2012/4/25,2012/5/15,2012/5/15,2012/6/22,CROSSLINK HC,7848,10347,2499,,1364106,31825,2012/6/23,,202,,1213,199,,19,,121,,,,,PUMPING,40,,5261,,3858,,31566,,4618,,36809,6939,,3858,,41634,,6296,,47484,8223,,3858,,49338,,7580,,53867,9286,,3858,,55716,,8643,,57873,16190,,10175,,97139,,14494,,67129,,2012/7/1,2,3414,,3755,,20483,,2788,,22894,42823,,49455,,256935,,34580,,72108,155,2025/4/1,78,251,96,1314,2521,894,1218,81,1430,2012
42-003-45765,4200345765,42-003-45765-00,4.20035E+11,42-003-45765-00-00,4.20035E+13,8.4042E+14,8.40421E+14,42-003-45765,1,UNIVERSITY MCFARLAND 8 UNIT 1H,US,TX,ANDREWS,46076,UNIVERSITY MCFARLAND 8 UNIT,OCCIDENTAL,OXY USA INC.,OCCIDENTAL PETR,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2014/7/1,32.47458,-102.389878,32.498038,-102.397827,10228,18619,8,SPRABERRY,UL,5,U112,,8,,,,UNIVERSITY MCFARLAND 8 UNIT,2014,2014-Q3,Jul-14,3098,ACTUAL,3068,ACTUAL,ACTUAL,2013/12/5,2013/11/8,2014/2/8,2014/4/23,2014/4/23,2014/4/23,HYBRID CROSSLINKER/LINEAR GEL HC,10533,18133,7600,7967,4056090,122530,2014/7/27,,472,62,2829,440,58,189,25,1568,206,,,,PUMPING,35,,15600,2053,7964,1048,93602,12316,14273,1878,98303,21652,2849,10562,1390,129914,17094,19892,2617,119471,26293,3460,12255,1613,157755,20757,24250,3191,136046,30763,4048,14725,1938,184579,24287,28309,3725,151624,55264,7272,27398,3605,331586,43630,50698,6671,240827,31688,2014/8/1,2,6578,866,3827,504,39467,5193,5940,782,64350,112511,14804,59316,7805,675066,88824,102625,13503,486126,130,2025/4/1,364,51,1993,7080,3851,6438,34645,91,578,2014
42-003-10168,4200310168,42-003-10168-00,4.20031E+11,42-003-10168-00-00,4.20031E+13,8.4042E+14,8.40421E+14,42-003-10168,1,MIDLAND FARMS AK -A- 199,US,TX,ANDREWS,51956,MIDLAND FARMS AK -A-,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,FUSSELMAN,1989/10/1,32.133712,-102.390652,32.133712,-102.390652,12751,12751,8,INEZ,G&MMB&A,41,111,,39,1N,,,,1989,*Pre-2010,*Pre-2010,3048,ACTUAL,3035,ACTUAL,,,,1962/10/15,,,1989/3/1,,,,,,,,,,,,,,,,,,,,,,PUMPING,,,6305,,1,,37830,,6305,,0,16719,,32482,,100314,,11305,,0,27808,,75997,,166847,,15142,,0,37919,,114504,,227516,,18835,,0,97426,,351685,,584553,,38811,,0,,1990/3/1,6,4608,,17242,,27648,,2219,,4844,209093,,654477,,1254557,,100013,,379603,427,2025/4/1,398,48,3402,4848,902,4697,36861,48,6544,*Pre-2010
42-003-10168,4200310168,42-003-10168-00,4.20031E+11,42-003-10168-00-01,4.20031E+13,8.4042E+14,8.40421E+14,42-003-10168,2,MIDLAND FARMS AK -A- 199,US,TX,ANDREWS,51956,MIDLAND FARMS AK -A-,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,FUSSELMAN,1989/10/1,32.133712,-102.390652,32.133712,-102.390652,12751,12751,8,INEZ,G&MMB&A,41,111,,39,1N,,,,1989,*Pre-2010,*Pre-2010,3048,ACTUAL,3035,ACTUAL,,,,1962/10/15,1989/10/13,,1989/10/13,,11154,11352,198,,,714,1993/2/11,,13,,79,8,,31,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pre-2010
42-003-10168,4200310168,42-003-10168-00,4.20031E+11,42-003-10168-00-02,4.20031E+13,8.4042E+14,8.40421E+14,42-003-10168,3,MIDLAND FARMS AK -A- 199,US,TX,ANDREWS,51956,MIDLAND FARMS AK -A-,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,FUSSELMAN,1989/10/1,32.133712,-102.390652,32.133712,-102.390652,12751,12751,8,INEZ,G&MMB&A,41,111,,39,1N,,,,1989,*Pre-2010,*Pre-2010,3048,ACTUAL,3035,ACTUAL,,,,1962/10/15,1989/10/13,,2014/4/21,LINEAR GEL HC,,,,,42632,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pre-2010
42-003-10168,4200310168,42-003-10168-00,4.20031E+11,42-003-10168-00-03,4.20031E+13,8.4042E+14,8.40421E+14,42-003-10168,4,MIDLAND FARMS AK -A- 199,US,TX,ANDREWS,51956,MIDLAND FARMS AK -A-,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,FUSSELMAN,1989/10/1,32.133712,-102.390652,32.133712,-102.390652,12751,12751,8,INEZ,G&MMB&A,41,111,,39,1N,,,,1989,*Pre-2010,*Pre-2010,3048,ACTUAL,3035,ACTUAL,,,,1962/10/15,1989/10/13,,2016/10/13,CROSSLINK HC,,,,,77415,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pre-2010
42-115-33528,4211533528,42-115-33528-00,4.21153E+11,42-115-33528-00-00,4.21153E+13,8.4042E+14,8.40421E+14,42-115-33528,1,J-OB 11,US,TX,DAWSON,43649,J-OB 11,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,PROFRAC SERVICES,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,MISSISSIPPIAN,2012/12/1,32.528333,-102.101666,32.528333,-102.101666,11624,11624,8A,SPRABERRY,KENT CSL,,403,,263,,,,,2012,2012-Q4,Dec-12,2905,ACTUAL,2887,ACTUAL,,2012/8/13,2012/8/2,2012/10/6,2012/11/1,2012/11/1,2012/12/3,SLICKWATER HC,9540,11539,1999,,795198,22026,2012/12/19,,197,,1182,197,,,,139,,,,,PUMPING,38,,3201,,10,,19204,,3199,,7734,5329,,1338,,31975,,5106,,12515,7257,,1338,,43541,,7034,,17487,8454,,1949,,50724,,8129,,20403,22020,,11402,,132121,,20120,,56734,,2012/12/1,1,1724,,923,,10344,,1724,,4141,47495,,37798,,284970,,41195,,181999,148,2025/3/1,111,178,1240,1743,2348,1352,14304,87,918,2012
42-115-33528,4211533528,42-115-33528-00,4.21153E+11,42-115-33528-00-01,4.21153E+13,8.4042E+14,8.40421E+14,42-115-33528,2,J-OB 11,US,TX,DAWSON,43649,J-OB 11,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,MISSISSIPPIAN,2012/12/1,32.528333,-102.101666,32.528333,-102.101666,11624,11624,8A,SPRABERRY,KENT CSL,,403,,263,,,,,2012,2012-Q4,Dec-12,2905,ACTUAL,2887,ACTUAL,,2012/8/13,2012/8/2,2012/10/6,2012/11/1,2012/11/1,2013/10/28,CROSSLINK HC,,,,,823707,13234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
42-003-45324,4200345324,42-003-45324-00,4.20035E+11,42-003-45324-00-00,4.20035E+13,8.4042E+14,8.40421E+14,42-003-45324,1,MIDLAND FARMS UNIT 107A,US,TX,ANDREWS,15874,MIDLAND FARMS UNIT,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,B ZONE,2013/9/1,32.151561,-102.365132,32.151606,-102.365125,4829,4830,8,MIDLAND FARMS,,,118,,,,,,,2013,2013-Q3,Sep-13,3017,ACTUAL,3004,ACTUAL,ACTUAL,2013/4/26,2013/4/25,2013/8/19,2013/8/24,2013/8/24,2013/9/25,LINEAR GEL HC,4696,4811,115,,64973,1213,2013/11/9,,5,,30,5,,,,10,,,,,PUMPING,46,,692,,0,,4152,,692,,22354,1475,,0,,8853,,1475,,54030,1992,,0,,11950,,1992,,74907,2474,,0,,14847,,2474,,94433,4008,,0,,24049,,4008,,156482,,2019/1/1,65,319,,0,,1911,,319,,12066,8214,,0,,49286,,8214,,170481,140,2025/4/1,0,0,0,13,0,13,13,100,0,2013
42-003-46962,4200346962,42-003-46962-90,4.20035E+11,42-003-46962-90-00,4.20035E+13,8.4042E+14,8.40421E+14,42-003-46962,,UNIVERSITY 'DC' LEASE 1H,US,TX,ANDREWS,46463,UNIVERSITY 'DC' LEASE,OCCIDENTAL,OCCIDENTAL PERMIAN LTD.,OCCIDENTAL PETR,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,UNREPORTED,,,VERTICAL,TREND AREA,2015/4/1,32.471713,-102.398148,32.471752,-102.397884,12278,12280,8,SPRABERRY,UL,5,U111,,7,,,,UNIVERSITY 'DC' LEASE,2015,2015-Q2,Apr-15,3088,ACTUAL,3063,ACTUAL,ACTUAL,2014/12/9,2014/12/3,2015/1/19,,2015/3/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
